run,angle,psi,distance
1,30,30,124.5
2,45,30,153.5
3,60,30,137.63
4,45,20,93.19
5,30,20,61.63
6,60,40,171.31
7,45,20,64.94
8,60,30,138.38
9,30,20,83.63
10,45,40,198
11,30,20,80.06
12,30,30,145.31
13,45,40,182.19
14,60,20,48.13
15,30,40,206.06
16,30,30,160.63
17,45,30,157.06
18,60,20,70.81
19,30,40,196.25
20,60,40,166.5
21,30,40,220
22,45,20,80.19
23,60,30,137.06
24,45,40,191.25
25,45,30,159.13
26,60,40,167
27,45,20,42
28,30,20,78.1
29,60,40,151.38
30,60,30,113.25
31,45,30,132.56
32,45,40,189.38
33,60,20,61.19
34,30,30,149.06
35,30,40,201.56
36,60,40,187.19
37,45,20,96.81
38,60,20,72.31
39,30,20,78.19
40,30,30,157.63
41,60,20,73
42,30,40,209.38
43,60,30,151
44,45,40,197.19
45,45,30,137.13
